  0.100000000000000       3.868815089487899E-004
   10010010010.1099       3.915128289756019E-004
   20020020020.1198       4.056495064741383E-004
   30030030030.1297       4.300322006011688E-004
   40040040040.1396       4.659336463226778E-004
   50050050050.1496       5.152217719495961E-004
   60060060060.1595       5.804226672597280E-004
   70070070070.1694       6.647324596775495E-004
   80080080080.1793       7.719260956224355E-004
   90090090090.1892       9.059832579181914E-004
   100100100100.199       1.070187286076619E-003
   110110110110.209       1.265380917466703E-003
   120120120120.219       1.487191512762017E-003
   130130130130.229       1.722807819512832E-003
   140140140140.239       1.949309227810909E-003
   150150150150.249       2.136799471311719E-003
   160160160160.259       2.257814820612414E-003
   170170170170.268       2.298640651762637E-003
   180180180180.278       2.264314923457829E-003
   190190190190.288       2.173901568094087E-003
   200200200200.298       2.050798571247118E-003
   210210210210.308       1.915128336346620E-003
   220220220220.318       1.780668746557007E-003
   230230230230.328       1.655243966435006E-003
   240240240240.338       1.542328210302841E-003
   250250250250.348       1.442692787542450E-003
   260260260260.358       1.355628516678793E-003
   270270270270.368       1.279701751047096E-003
   280280280280.377       1.213188560974376E-003
   290290290290.387       1.154318978783683E-003
   300300300300.397       1.101384900241558E-003
   310310310310.407       1.052803547648222E-003
   320320320320.417       1.007146938587007E-003
   330330330330.427       9.631772162062088E-004
   340340340340.437       9.198691825494104E-004
   350350350350.447       8.764394966974768E-004
   360360360360.457       8.323713296899506E-004
   370370370370.467       7.874239802702472E-004
   380380380380.477       7.416197570690866E-004
   390390390390.487       6.952182616680790E-004
   400400400400.496       6.486639820104833E-004
   410410410410.506       6.025114132647039E-004
   420420420420.516       5.573678104239176E-004
   430430430430.526       5.138209718664498E-004
   440440440440.536       4.723912833028257E-004
   450450450450.546       4.335040785583532E-004
   460460460460.556       3.974722287619609E-004
   470470470470.566       3.644895625781932E-004
   480480480480.576       3.346520136572334E-004
   490490490490.586       3.079611422135842E-004
   500500500500.596       2.843433519212643E-004
   510510510510.605       2.636716690614108E-004
   520520520520.615       2.457710359166448E-004
   530530530530.625       2.304432550638018E-004
   540540540540.635       2.174708958686903E-004
   550550550550.645       2.066327781188920E-004
   560560560560.655       1.977072691979371E-004
   570570570570.665       1.904795339811518E-004
   580580580580.675       1.847496036837094E-004
   590590590590.685       1.803323303987593E-004
   600600600600.695       1.770632840368401E-004
   610610610610.704       1.747960824499637E-004
   620620620620.714       1.734025720569664E-004
   630630630630.724       1.727753309875862E-004
   640640640640.734       1.728235372986229E-004
   650650650650.744       1.734703580939121E-004
   660660660660.754       1.746556662039907E-004
   670670670670.764       1.763309235686375E-004
   680680680680.774       1.784592592041703E-004
   690690690690.784       1.810102401508677E-004
   700700700700.794       1.839648552920047E-004
   710710710710.804       1.873095533122042E-004
   720720720720.814       1.910354675757287E-004
   730730730730.823       1.951388353962148E-004
   740740740740.833       1.996203504074284E-004
   750750750750.843       2.044881965863363E-004
   760760760760.853       2.097513851852342E-004
   770770770770.863       2.154187704141616E-004
   780780780780.873       2.215067257795445E-004
   790790790790.883       2.280332225188551E-004
   800800800800.893       2.350184079974253E-004
   810810810810.903       2.424864964519262E-004
   820820820820.913       2.504615021568486E-004
   830830830830.923       2.589742427576065E-004
   840840840840.932       2.680592434487990E-004
   850850850850.942       2.777470267386322E-004
   860860860860.952       2.880805336233510E-004
   870870870870.962       2.991009775163155E-004
   880880880880.972       3.108539542767196E-004
   890890890890.982       3.233915362271785E-004
   900900900900.992       3.367670044235935E-004
   910910910911.002       3.510467157346839E-004
   920920920921.012       3.662916932822181E-004
   930930930931.022       3.825752634032393E-004
   940940940941.032       3.999812117215806E-004
   950950950951.042       4.185943910647523E-004
   960960960961.051       4.384996256989343E-004
   970970970971.061       4.598192657756033E-004
   980980980981.071       4.826518357157560E-004
   990990990991.081       5.071314491302583E-004
   1001001001001.09       5.333881670536790E-004
   1011011011011.10       5.615807556583977E-004
   1021021021021.11       5.918621474690131E-004
   1031031031031.12       6.244342415080524E-004
   1041041041041.13       6.594757955313261E-004
   1051051051051.14       6.972224194570169E-004
   1061061061061.15       7.379094681220532E-004
   1071071071071.16       7.818187488767822E-004
   1081081081081.17       8.292363173518068E-004
   1091091091091.18       8.804906596043299E-004
   1101101101101.19       9.359610115971565E-004
   1111111111111.20       9.960421945164836E-004
   1121121121121.21       1.061208961628265E-003
   1131131131131.22       1.131922632032418E-003
   1141141141141.23       1.208783439229747E-003
   1151151151151.24       1.292380105790319E-003
   1161161161161.25       1.383410242051725E-003
   1171171171171.26       1.482666932873467E-003
   1181181181181.27       1.590987098541529E-003
   1191191191191.28       1.709373606384171E-003
   1201201201201.29       1.838872109518650E-003
   1211211211211.30       1.980703616870598E-003
   1221221221221.31       2.136224033268544E-003
   1231231231231.32       2.306922527147646E-003
   1241241241241.33       2.494529406930545E-003
   1251251251251.34       2.700974684099903E-003
   1261261261261.35       2.928326197410202E-003
   1271271271271.36       3.179031839323201E-003
   1281281281281.37       3.455713696619433E-003
   1291291291291.38       3.761410692333655E-003
   1301301301301.39       4.099403235882517E-003
   1311311311311.40       4.473365986268593E-003
   1321321321321.41       4.887551155410536E-003
   1331331331331.42       5.346374090347547E-003
   1341341341341.43       5.854625176490101E-003
   1351351351351.44       6.418209191111664E-003
   1361361361361.45       7.042668665746592E-003
   1371371371371.46       7.734227642969357E-003
   1381381381381.47       8.499826452760980E-003
   1391391391391.48       9.346062896001336E-003
   1401401401401.49       1.027980501411779E-002
   1411411411411.50       1.130795096914800E-002
   1421421421421.51       1.243661093852013E-002
   1431431431431.52       1.367102703085555E-002
